cores,threads,speed,ram,ddr,gpu,hdd,ssd,cost
2,2,1350,4,3,0,500,0,21600
2,2,1500,4,3,0,500,0,22000
2,4,1500,4,3,0,500,0,24500
2,4,1500,4,3,0,1000,0,26500
2,4,2000,4,3,0,1000,0,31000
2,4,2000,4,4,0,1000,0,34000
2,4,2400,4,4,0,1000,0,36000
2,4,2400,4,4,500,1000,0,38000
2,4,2500,4,4,500,1000,0,40500
2,4,2400,4,4,1000,1000,0,42500
2,4,2400,4,4,1100,1000,0,43000
2,4,2300,4,4,2000,1000,0,43000
2,4,2400,4,4,2000,1000,0,44800
2,4,2500,4,4,2000,1000,0,45800
2,4,2500,8,4,2000,1000,0,52000
2,4,2500,8,4,2200,1000,0,54500
4,8,1600,8,4,2000,1000,0,56000
4,8,1600,8,4,4000,1000,0,60800
2,4,2700,8,4,2000,1000,0,62000
2,4,2400,8,3,2000,1000,0,64900
2,4,3100,8,4,2000,0,512,66000
2,4,2500,8,4,2000,512,512,69500
4,4,2500,8,4,4000,1000,0,70800
4,8,1800,8,4,4000,1000,128,75000
2,4,3500,8,4,2000,0,512,76000
4,8,1800,8,4,2000,1000,128,77000
2,4,2400,8,4,2000,0,512,78100
4,8,1800,8,4,4000,1000,128,80000
2,4,2500,8,4,2000,0,512,81200
2,4,2500,8,4,2500,0,512,83000
4,4,2500,8,4,4000,1000,128,85000
2,4,2700,8,4,3000,0,512,89000
2,4,3100,8,4,2000,1000,256,90000
2,4,2700,16,3,1000,0,512,99000
4,8,2800,16,4,4000,1000,256,102500
4,8,2800,16,4,4500,1000,256,105500
4,8,2800,16,4,4000,2000,256,111000
4,8,2800,16,4,4500,2000,256,117000
2,4,2700,16,4,4000,2000,512,135400
4,8,2800,16,4,6000,1000,256,137000
4,8,3800,16,4,6000,1000,256,150200
4,8,2600,32,4,8000,2000,128,176500
4,8,3500,16,4,8000,0,1000,169500
4,8,2800,32,4,8000,1000,512,180100
2,2,1600,4,3,0,1000,0,29500
2,4,2300,4,3,0,1000,0,34200
2,4,2100,4,3,0,1000,0,36000
2,4,2400,4,4,0,1000,0,36500
2,4,2300,4,4,0,1000,0,39000
2,4,2500,4,4,0,1000,0,43800
2,4,2300,8,4,2000,1000,0,48800
2,4,2500,8,4,2000,1000,0,52800
2,4,2300,8,4,2000,1000,0,53500
2,4,2500,8,4,2500,1000,0,61500
2,4,2500,8,4,3000,1000,0,69000
2,4,2800,8,4,3000,1000,0,74000
2,4,2600,8,4,2000,1000,128,75000
2,4,2900,8,4,2000,1000,128,78000
2,4,3100,8,4,3000,0,512,88800
2,4,3300,8,4,3000,0,512,94000
4,4,2800,8,4,4000,1000,128,89500
4,8,3300,64,4,8000,0,1000,398500
4,8,3100,16,4,6000,1000,256,160000
4,8,3200,16,4,6000,1000,256,169500
4,8,2800,16,4,4000,2000,256,124000
2,4,2500,8,4,2000,1000,0,58500
2,4,2500,8,4,2000,0,512,70000
2,4,2800,8,4,2000,0,512,80500
2,4,2400,8,4,0,1000,0,44500
2,4,2300,8,4,2000,1000,0,50000
2,4,2400,4,4,0,1000,0,40500
2,4,2800,8,4,0,1000,0,65000
2,4,2400,4,4,1000,1000,0,44500
2,4,2400,4,4,2000,1000,0,47000
4,4,1400,2,3,0,1000,0,30000
2,2,1600,4,4,0,1000,0,30500
2,4,2500,8,4,0,2000,0,57500
2,4,3000,16,4,0,0,512,105500
2,4,3000,8,4,0,0,512,73500
2,4,3000,8,4,2000,0,512,88000
2,4,3100,8,4,2000,0,512,90000
2,4,3100,8,4,2500,0,512,95500
2,4,3100,16,4,0,0,1000,179000
2,4,2100,4,4,0,1000,0,35000
2,4,2900,8,4,2000,1000,0,66000
2,2,1100,4,3,0,500,0,23000
2,4,2800,8,4,0,1000,128,89500
2,4,2900,8,4,0,1000,128,98000
2,2,1100,4,3,0,500,0,23500
4,8,3300,64,4,8000,0,1000,308000
2,2,1600,4,3,0,500,0,25000
2,2,1500,4,3,0,500,0,23000
2,2,1500,4,3,0,500,0,26000
4,4,2900,8,4,4000,1000,0,80000
4,8,3300,16,4,4000,1000,256,109000
4,8,3300,64,4,8000,0,1000,308000
4,4,2600,8,4,4000,1000,0,78500
4,8,3000,16,4,4000,2000,0,103800
4,8,3000,16,4,4000,2000,256,118500
4,8,2800,16,4,4000,2000,0,75500
